competition_name,competition_country,team,tm_club_id,tm_club_name,method,score,tm_scraped_players,scrape_status
Bolivia. LFPB,Bolivia,ABB,,,dict_unmatched,0,0,dict_unmatched
Bolivia. LFPB,Bolivia,Always Ready,42208,Always Ready,dict,100,27,scraped
Bolivia. LFPB,Bolivia,Aurora,19008,Aurora,dict,100,28,scraped
Bolivia. LFPB,Bolivia,Blooming,8056,Club Blooming,dict,100,29,scraped
Bolivia. LFPB,Bolivia,Bolívar,6878,Bolívar,dict,100,30,scraped
Bolivia. LFPB,Bolivia,Guabirá,17422,Guabirá,dict,100,29,scraped
Bolivia. LFPB,Bolivia,Gualberto Villarroel SJ,,,dict_unmatched,0,0,dict_unmatched
Bolivia. LFPB,Bolivia,Independiente Petrolero,1234,Independiente,dict,100,24,scraped
Bolivia. LFPB,Bolivia,Nacional Potosí,23171,Nacional Potosí,dict,100,29,scraped
Bolivia. LFPB,Bolivia,Oriente Petrolero,6985,Oriente P.,dict,100,35,scraped
Bolivia. LFPB,Bolivia,Real Oruro,100047,Real Oruro,dict,100,29,scraped
Bolivia. LFPB,Bolivia,Real Tomayapo,75558,Real Tomayapo,dict,100,35,scraped
Bolivia. LFPB,Bolivia,San Antonio Bulo Bulo,47242,San Antonio FC,dict,100,28,scraped
Bolivia. LFPB,Bolivia,The Strongest,5570,The Strongest,dict,100,28,scraped
Bolivia. LFPB,Bolivia,Universitario de Vinto,6593,Universitario,dict,100,31,scraped
Bolivia. LFPB,Bolivia,Wilstermann,4862,Wilstermann,dict,100,14,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Borac Banja Luka,3900,B. Banja Luka,dict,100,31,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Posušje,1014,HSK Posusje,dict,100,25,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Radnik Bijeljina,11040,Radnik Bijelj.,dict,100,30,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Rudar Prijedor,24197,Rudar Prijedor,dict,100,23,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Sarajevo,282,FK Sarajevo,dict,100,32,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Sloga Doboj,3069,FK Loznica,dict,100,30,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Velež,14842,Vélez II,dict,100,25,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Zrinjski,6808,Zrinjski Mostar,dict,100,29,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Široki Brijeg,1242,Siroki Brijeg,dict,100,28,scraped
Bosnia and Herzegovina. Premijer Liga,Bosnia and Herzegovina,Željezničar,2573,Zeljeznicar,dict,100,32,scraped
Brazil. Serie A,Brazil,Atlético Mineiro,13,Atlético,dict,100,25,scraped
Brazil. Serie A,Brazil,Bahia,10010,EC Bahia,dict,100,32,scraped
Brazil. Serie A,Brazil,Botafogo,537,Botafogo,dict,100,31,scraped
Brazil. Serie A,Brazil,Ceará,2029,Ceará SC,dict,100,28,scraped
Brazil. Serie A,Brazil,Corinthians,199,Corinthians,dict,100,34,scraped
Brazil. Serie A,Brazil,Cruzeiro,609,Cruzeiro,dict,100,32,scraped
Brazil. Serie A,Brazil,Flamengo,614,Flamengo,dict,100,30,scraped
Brazil. Serie A,Brazil,Fluminense,2462,Fluminense,dict,100,35,scraped
Brazil. Serie A,Brazil,Fortaleza,10870,Fortaleza,dict,100,29,scraped
Brazil. Serie A,Brazil,Grêmio,210,Grêmio,dict,100,33,scraped
Brazil. Serie A,Brazil,Internacional,6600,Internacional,dict,100,29,scraped
Brazil. Serie A,Brazil,Juventude,10492,Juventude,dict,100,34,scraped
Brazil. Serie A,Brazil,Mirassol,3876,Mirassol-SP,dict,100,32,scraped
Brazil. Serie A,Brazil,Palmeiras,1023,Palmeiras,dict,100,27,scraped
Brazil. Serie A,Brazil,Red Bull Bragantino,8793,RB Bragantino,dict,100,36,scraped
Brazil. Serie A,Brazil,Santos,221,Santos,dict,100,32,scraped
Brazil. Serie A,Brazil,Sport Recife,8718,Sport Recife,dict,100,29,scraped
Brazil. Serie A,Brazil,São Paulo,585,São Paulo,dict,100,41,scraped
Brazil. Serie A,Brazil,Vasco da Gama,978,Vasco da Gama,dict,100,34,scraped
Brazil. Serie A,Brazil,Vitória,2125,EC Vitória,dict,100,35,scraped
Brazil. Serie B,Brazil,Amazonas,87727,Amazonas,dict,100,39,scraped
Brazil. Serie B,Brazil,América Mineiro,3631,América,dict,100,29,scraped
Brazil. Serie B,Brazil,Athletic Club,64918,Athletic,dict,100,36,scraped
Brazil. Serie B,Brazil,Athletico Paranaense,679,Athletico-PR,dict,100,31,scraped
Brazil. Serie B,Brazil,Atlético GO,15172,Atlético-GO,dict,100,35,scraped
Brazil. Serie B,Brazil,Avaí,2035,Avaí FC,dict,100,29,scraped
Brazil. Serie B,Brazil,Botafogo SP,9030,Botafogo-SP,dict,100,34,scraped
Brazil. Serie B,Brazil,CRB,11449,CRB,dict,100,33,scraped
Brazil. Serie B,Brazil,Chapecoense,17776,Chapecoense,dict,100,38,scraped
Brazil. Serie B,Brazil,Coritiba,776,Coritiba FC,dict,100,30,scraped
Brazil. Serie B,Brazil,Criciúma,7178,Criciúma,dict,100,33,scraped
Brazil. Serie B,Brazil,Cuiabá,28022,Cuiabá-MT,dict,100,33,scraped
Brazil. Serie B,Brazil,Ferroviária,15882,Ferroviária,dict,100,32,scraped
Brazil. Serie B,Brazil,Goiás,3197,Goiás,dict,100,28,scraped
Brazil. Serie B,Brazil,Grêmio Novorizontino,210,Grêmio,dict,100,33,scraped
Brazil. Serie B,Brazil,Operário PR,27214,Operário-PR,dict,100,28,scraped
Brazil. Serie B,Brazil,Paysandu,6347,Paysandu,dict,100,37,scraped
Brazil. Serie B,Brazil,Remo,10997,Remo,dict,100,33,scraped
Brazil. Serie B,Brazil,Vila Nova,5677,Vila Nova FC,dict,100,30,scraped
Brazil. Serie B,Brazil,Volta Redonda,4176,Volta Redonda,dict,100,35,scraped
Brazil. Serie C,Brazil,ABC,,,dict_unmatched,0,0,dict_unmatched
Brazil. Serie C,Brazil,Anápolis,6195,Napoli,dict,100,26,scraped
Brazil. Serie C,Brazil,Botafogo PB,,,dict_unmatched,0,0,dict_unmatched
Brazil. Serie C,Brazil,Brusque,130,Parma,dict,100,27,scraped
Brazil. Serie C,Brazil,CSA,110586,UCSA,dict,100,30,scraped
Brazil. Serie C,Brazil,Caxias,,,dict_unmatched,0,0,dict_unmatched
Brazil. Serie C,Brazil,Confiança,87727,Amazonas,dict,100,39,scraped
Brazil. Serie C,Brazil,Figueirense,3349,Feirense,dict,100,33,scraped
Brazil. Serie C,Brazil,Floresta EC,,,dict_unmatched,0,0,dict_unmatched
Brazil. Serie C,Brazil,Guarani,11855,Guaraní,dict,100,30,scraped
Brazil. Serie C,Brazil,Itabaiana,130,Parma,dict,100,27,scraped
Brazil. Serie C,Brazil,Ituano,,,dict_unmatched,0,0,dict_unmatched
Brazil. Serie C,Brazil,Londrina,,,dict_unmatched,0,0,dict_unmatched
Brazil. Serie C,Brazil,Maringá,10492,Juventude,dict,100,34,scraped
Brazil. Serie C,Brazil,Náutico,,,dict_unmatched,0,0,dict_unmatched
Brazil. Serie C,Brazil,Ponte Preta,2125,EC Vitória,dict,100,35,scraped
Brazil. Serie C,Brazil,Retrô,15172,Atlético-GO,dict,100,35,scraped
Brazil. Serie C,Brazil,São Bernardo FC,,,dict_unmatched,0,0,dict_unmatched
Brazil. Serie C,Brazil,Tombense,4176,Volta Redonda,dict,100,35,scraped
Brazil. Serie C,Brazil,Ypiranga Erechim,4176,Volta Redonda,dict,100,35,scraped
Bulgaria. First League,Bulgaria,Arda,40604,Arda Kardzhali,dict,100,23,scraped
Bulgaria. First League,Bulgaria,Beroe,6764,Beroe,dict,100,19,scraped
Bulgaria. First League,Bulgaria,Botev Plovdiv,2531,Botev Plovdiv,dict,100,29,scraped
Bulgaria. First League,Bulgaria,Botev Vratsa,26462,Botev Vratsa,dict,100,26,scraped
Bulgaria. First League,Bulgaria,CSKA 1948 Sofia,208,CSKA Sofia,dict,100,25,scraped
Bulgaria. First League,Bulgaria,CSKA Sofia,208,CSKA Sofia,dict,100,25,scraped
Bulgaria. First League,Bulgaria,Cherno More,967,Cherno More,dict,100,25,scraped
Bulgaria. First League,Bulgaria,Dobrudzha 1919,,,dict_unmatched,0,0,dict_unmatched
